,0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,438634.5987874577
489,701846.1336652526
490,833000.0
491,833000.0
492,833000.0
493,833000.0
494,833000.0
495,714003.8605784777
496,468204.96412878187
497,16249.299169449938
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,162397.13948951432
513,334590.2193025019
514,299149.6918517673
515,440428.22206714365
516,734611.6279817376
517,702769.6363817208
518,833000.0
519,201954.45425124053
520,53405.7365828585
521,4748.868861562108
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,386025.54957353504
537,74467.54251791046
538,367491.3808052101
539,833000.0
540,833000.0
541,833000.0
542,833000.0
543,674181.7047465905
544,434779.49246641947
545,97676.68852416644
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,412358.10508016456
561,118357.6672767938
562,207460.14514439038
563,463612.3512550987
564,747669.136521381
565,833000.0
566,833000.0
567,681989.3947772657
568,443101.6638116521
569,99769.30169909669
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,428858.01678788796
585,690667.0356930852
586,833000.0
587,833000.0
588,833000.0
589,833000.0
590,833000.0
591,705715.0040005514
592,468646.48157802754
593,125107.54004644566
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,380246.3310808699
609,641326.1715000288
610,811016.9596429458
611,833000.0
612,833000.0
613,694284.1703254592
614,476352.95742924785
615,336230.57383836026
616,91507.62609463221
617,9565.809040146574
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,48564.64432584662
633,35152.20923482937
634,69743.64510852328
635,94902.45500727372
636,75054.38599122965
637,139490.2761821199
638,210497.4777677034
639,223434.61685998001
640,58246.391450488365
641,7713.022496934789
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,91780.14570223588
657,171727.057487805
658,524103.78628164576
659,613146.5198857675
660,657934.7959628856
661,617419.466262552
662,161972.2524387483
663,118053.42932335268
664,160527.85251091435
665,15412.517653984685
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,414066.42202035733
681,679925.9330755074
682,833000.0
683,833000.0
684,833000.0
685,603463.1538833808
686,833000.0
687,693472.3873288594
688,450909.53274128656
689,114085.73791899992
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,377620.44325631735
705,651557.1927413553
706,833000.0
