,0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,415871.3224834828
489,685107.9373507678
490,833000.0
491,833000.0
492,833000.0
493,833000.0
494,833000.0
495,694694.7685943648
496,449744.2985482938
497,13041.081523724306
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,171944.34508622283
513,353292.66349557304
514,326485.8490230174
515,469499.75833958504
516,760256.5847807539
517,727107.6883084322
518,824321.5139745761
519,208456.06318421217
520,45084.94819869255
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,371327.2025050305
537,63447.97196467052
538,390205.5759916645
539,833000.0
540,833000.0
541,833000.0
542,831715.6834085449
543,664852.1451619832
544,420851.23276424565
545,80742.27419905919
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,396615.7692036841
561,111204.2247948957
562,216999.4568214762
563,493298.388577601
564,788293.7177338395
565,833000.0
566,833000.0
567,682814.939364606
568,431227.6491875563
569,83184.5730969514
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,413590.5942819945
585,684625.1653691375
586,833000.0
587,833000.0
588,833000.0
589,833000.0
590,833000.0
591,699251.3837644767
592,453365.2618831694
593,101684.20465418958
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,355393.17007951677
609,611961.9215834207
610,780006.7327310533
611,833000.0
612,833000.0
613,692415.6941538943
614,479851.19687759114
615,340508.39707784087
616,85251.75451461987
617,2642.7857102124517
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,35828.671035694155
633,23452.12894723678
634,51903.908469552436
635,73289.37878937334
636,56362.79082219328
637,114533.38458415754
638,186926.37359726403
639,215487.7143179127
640,44231.78302809721
641,1130.999351256214
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,84821.1426078643
657,163866.1201090011
658,522124.9483996699
659,614959.276026811
660,676305.953744301
661,621976.919081837
662,137888.7149159746
663,98482.88795618492
664,157820.2210460224
665,7932.339094487053
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,386911.9737371907
681,654211.1745877925
682,827203.8717622109
683,833000.0
684,833000.0
685,613421.0928666603
686,833000.0
687,671661.8602341284
688,425366.8473393368
689,98960.258718543
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,359530.9817036035
705,629078.8022134549
